epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,685.997,1.49288,2.70609,1.47256,0.74038,0.43757,0.56122,0.31704,1.36772,2.81207,1.44691,0.0004125,0.0004125,0.0004125
2,4404.01,1.44896,1.75715,1.37888,0.54366,0.56842,0.51936,0.26512,1.56909,2.33857,1.59038,0.000820958,0.000820958,0.000820958
3,5139.66,1.43187,1.55508,1.37205,0.60162,0.60952,0.67056,0.39671,1.40403,1.64749,1.37742,0.00122117,0.00122117,0.00122117
4,5962.34,1.42002,1.34482,1.34974,0.65406,0.588,0.65775,0.37385,1.40555,1.63322,1.36,0.00121287,0.00121287,0.00121287
5,11240.3,1.42127,1.22169,1.32833,0.94686,0.64958,0.80413,0.39098,1.53458,1.35936,1.4214,0.0012005,0.0012005,0.0012005
6,13726.8,1.39645,1.12461,1.3125,0.61294,0.68045,0.70274,0.38598,1.51794,1.29094,1.43514,0.00118812,0.00118812,0.00118812
7,14687.6,1.38146,1.01479,1.29549,0.6491,0.82973,0.70298,0.39626,1.42969,1.02334,1.31267,0.00117575,0.00117575,0.00117575
8,15622.4,1.36131,0.96506,1.28208,0.72412,0.71738,0.73168,0.44237,1.31822,1.03199,1.28179,0.00116337,0.00116337,0.00116337
